,City,Country,Date,Lat,Long,Max Temp,Humidity,Cloudiness,Wind Speed
0,butaritari,KI,1630968624,3.0707,172.7902,28.88,71,100,5.87
1,preobrazheniye,RU,1630968626,42.9019,133.9064,18.66,77,100,2.87
2,avarua,CK,1630968631,-21.2078,-159.775,25.03,69,75,8.23
3,kahului,US,1630968464,20.8947,-156.47,30.01,58,40,9.26
4,rawson,AR,1630968638,-43.3002,-65.1023,13.42,64,97,2.49
5,vaini,TO,1630968640,-21.2,-175.2,26.09,83,40,3.09
6,faya,SA,1630968642,18.3851,42.4509,19.06,27,36,1.43
7,port elizabeth,ZA,1630968537,-33.918,25.5701,12.16,94,75,1.54
8,dunmore town,BS,1630968646,25.5,-76.65,28.39,70,99,2.23
9,sinnamary,GF,1630968649,5.3833,-52.95,26.27,82,96,4.22
10,port alfred,ZA,1630968652,-33.5906,26.891,14.57,71,100,5.43
11,yar-sale,RU,1630968656,66.8333,70.8333,6.32,75,99,8.97
12,ushuaia,AR,1630968432,-54.8,-68.3,7.81,71,75,5.66
13,georgetown,MY,1630968661,5.4112,100.3354,26.61,87,20,1.03
14,kosonsoy,UZ,1630968663,41.2561,71.5508,18.31,19,0,2.23
15,upernavik,GL,1630968667,72.7868,-56.1549,-0.87,71,82,4.32
16,tevaitoa,PF,1630968670,-16.7833,-151.5,26.08,70,1,6.67
17,albany,US,1630968040,42.6001,-73.9662,21.97,59,3,2.44
18,port hueneme,US,1630968449,34.1478,-119.1951,40.49,70,1,4.12
19,westlock,CA,1630968674,54.1502,-113.8688,23.39,26,5,9.77
20,bambous virieux,MU,1630968676,-20.3428,57.7575,21.14,68,40,7.2
21,barrow,US,1630968678,71.2906,-156.7887,3.01,75,90,2.57
22,puerto ayora,EC,1630968679,-0.7393,-90.3518,24.98,80,87,4.94
23,rikitea,PF,1630968584,-23.1203,-134.9692,23.18,72,61,3.43
24,khatanga,RU,1630968683,71.9667,102.5,10.78,70,96,4.0
25,bluff,NZ,1630968684,-46.6,168.3333,11.0,88,100,2.9
26,rafsanjan,IR,1630968687,30.4067,55.9939,23.75,12,0,1.14
27,punta arenas,CL,1630968689,-53.15,-70.9167,10.06,71,90,2.57
28,busselton,AU,1630968691,-33.65,115.3333,10.6,76,0,5.15
29,ketchikan,US,1630968671,55.3422,-131.6461,14.26,88,90,4.12
30,branesti,RO,1630968695,45.0333,25.4167,12.82,99,0,2.2
31,tadine,NC,1630968699,-21.55,167.8833,23.25,71,14,4.55
32,puerto del rosario,ES,1630968704,28.5004,-13.8627,25.86,69,0,5.66
